,listing_id,description,host_id,neighbourhood_full,coordinates,room_type,price,number_of_reviews,reviews_per_month,availability_365,rating,number_of_stays,listing_added
28,21265628,Fabulous Room in East Willamsburg!,20583151.0,"Brooklyn, Bushwick","(40.69779000000001, -73.92282)",Private Room,95$,1,0.59,89,4.839623375366898,1.2,2018-11-13
29,10022956,Huge room in 4 BR on Riverside,50539477.0,"Manhattan, Harlem","(40.82203, -73.95612)",Private Room,50$,77,3.26,190,3.0426878268406217,92.4,2018-11-27
30,19791924,Spacious studio with private garden near The Met,112954746.0,"Manhattan, Upper East Side","(40.77428, -73.95523)",Entire place,145$,3,0.12,0,3.1850821768884625,3.6,2017-01-24
31,3701890,1 bedroom apartment on the UWS,3146957.0,"Manhattan, Upper West Side","(40.77918, -73.9874)",Entire place,160$,5,0.09,0,3.5357076076557696,6.0,2015-12-31
32,36236013,READY BED GO the goal is to make u feel at home,256197494.0,"Brooklyn, Cypress Hills","(40.68042, -73.88978)",Private Room,75$,1,1.0,82,3.534620219078902,1.2,2018-12-30
33,25918623,Sunny & Cheery Bronx Home - with Chickens!,7558748.0,"Bronx, Mott Haven","(40.8084, -73.92036999999998)",Entire place,115$,36,3.12,114,4.509901539379822,43.2,2018-12-24
34,31494165,Sunny Cosy Private Room Hell's Kitchen & Broadway,33464426.0,"Manhattan, Hell's Kitchen","(40.76453, -73.98527)",Private Room,80$,8,1.4,0,4.933218281908909,9.6,2018-11-23
35,34723111,Modern 3 Bedroom! Easy Access to Manhattan!,261904019.0,"Queens, Ridgewood","(40.70631, -73.89698)",Entire place,199$,5,3.13,145,4.862087896591945,6.0,2018-12-26
36,17690331,"Quiet Bedroom in Central Bushwick, 16 mins to NYC",58953152.0,"Brooklyn, Bushwick","(40.69927, -73.91315999999998)",Private Room,42$,12,1.26,0,3.929946297919437,14.4,2018-06-26
37,25817508,"Brand new space ! ... safe, peaceful and relaxing.",194004304.0,"Manhattan, Washington Heights","(40.84782, -73.93954000000002)",Private Room,85$,9,0.79,80,4.9487767716540345,10.8,2018-06-28
38,20783900,Marvelous Manhattan Marble Hill Private Suites,148960265.0,"Manhattan, Marble Hill","(40.87618, -73.91266)",Private Room,93$,7,0.32,0,4.868036151941184,8.4,2020-02-17
39,13082571,Garden Overlook,72318418.0,"Brooklyn, Crown Heights","(40.67002, -73.92054)",Private Room,69$,132,3.46,365,4.914117548271264,158.4,2018-12-19
40,26749730,KID-friendly 2BR apartment - heart of Williamsburg,8654731.0,"Brooklyn, Williamsburg","(40.70945, -73.95843)",Entire place,289$,32,3.06,60,3.9929504436562175,38.4,2018-10-16
41,6141561,Beautiful room & Amazing location,6984488.0,"Brooklyn, Prospect Heights","(40.67483, -73.9646)",Private Room,125$,16,0.32,339,3.0917061324803927,19.2,2016-04-26
42,28513774,Cozy 2 Bedroom Apt w/ Patio & Hot Tub near Trains,108249932.0,"Brooklyn, East New York","(40.6757, -73.88925)",Entire place,175$,22,2.89,285,3.4866316093765763,26.4,2018-12-25
43,20542510,Room 1 Private Lower Level Getaway w/ Window  (Lower Level 1),104927746.0,"Staten Island, Concord","(40.59669, -74.08645)",Private Room,32$,45,2.09,333,4.1079132693966445,54.0,2018-10-16
44,24171777,Luxury Triplex with Roofdeck,6489789.0,"Brooklyn, Gowanus","(40.68159, -73.98075)",Entire place,450$,3,0.35,22,3.6228250351341775,3.6,2018-09-28
45,1908852,Oversized Studio By Columbus Circle,684629.0,"Manhattan, Upper West Side","(40.7706, -73.98919000000002)",Entire place,189$,7,0.13,0,4.841203656986698,8.4,2017-09-17
46,9695052,Owl's Landing - The Twins,50068597.0,"Staten Island, Stapleton","(40.63573, -74.0772)",Private Room,48$,112,2.6,316,3.572992308426399,134.4,2018-12-27
47,22841280,RARE & Spacious Brooklyn Brownstone! Great Area!,26243777.0,"Brooklyn, Bedford-Stuyvesant","(40.68729, -73.92949)",Entire place,125$,6,0.36,0,4.342982541500141,7.1999999999999975,2018-10-14
48,18858761,Private Entrance Astoria Five min walk to subway,131392140.0,"Queens, Astoria","(40.77407, -73.92262)",Entire place,125$,49,1.99,86,4.386348949278062,58.8,2018-09-11
49,17634206,One Room Apartment Next to Columbus Circle,119930068.0,"Manhattan, Hell's Kitchen","(40.76699, -73.9848)",Entire place,130$,4,0.14,0,4.457476674473302,4.8,2016-09-13
50,9390729,Manhattan Brownstone Great Location,15280538.0,"Manhattan, East Harlem","(40.78758, -73.95026)",Entire place,465$,74,1.67,62,3.8718419498954617,88.8,2018-12-31
51,24539281,"43rd Street “TIME SQUARE”
Single bed.",30985759.0,"Manhattan, Hell's Kitchen","(40.75792, -73.99172)",Shared room,65$,108,7.33,325,3.0905023362078774,129.6,2018-12-18
52,22797190,Large 1 bedroom apartment East Village / Gramercy!,9374496.0,"Manhattan, Gramercy","(40.73307, -73.98347)",Entire place,150$,16,0.9,0,4.461403102282441,19.2,2018-12-18
53,30937306,Hart Street Garden Apartment,34119511.0,"Brooklyn, Bedford-Stuyvesant","(40.69406, -73.93321)",Private Room,30$,1,0.15,0,3.920576077121452,1.2,2018-06-19
54,21357792,Stylish room in lush Williamsburg apartment,111969257.0,"Brooklyn, Williamsburg","(40.71619000000001, -73.9441)",Private Room,90$,3,0.15,0,3.2433553035858966,3.6,2018-01-06
55,34912334,Sunny Private 1BR Suite w/Kitchen/Bath @A/C Lines,81325020.0,"Brooklyn, Bedford-Stuyvesant","(40.67916, -73.92559)",Entire place,85$,3,2.05,43,4.355539821036511,3.6,2018-12-17
56,8776479,East Williamsburg / Bushwick loft,8822845.0,"Brooklyn, Williamsburg","(40.70353, -73.93482)",Entire place,140$,16,0.49,1,3.1926797599454018,19.2,2018-09-09
57,15732778,"Huge space across from park, easy to Manhattan",3398280.0,"Brooklyn, Prospect-Lefferts Gardens","(40.65776, -73.96174)",Private Room,65$,3,0.39,35,3.361691038978133,3.6,2018-10-25
58,7319856,450ft Square Studio in Gramercy NY,11773680.0,"Manhattan, Kips Bay","(40.73813, -73.98098)",Entire place,289$,4,0.09,225,3.9037640022435407,4.8,2015-11-17
59,7761394,One room in a 4 Bedroom apt.,40812084.0,"Brooklyn, Bedford-Stuyvesant","(40.68647, -73.92494)",Private Room,45$,2,0.04,0,3.4781338007921203,2.4,2015-03-26
60,21867440,"Charming, Cozy Apartment in the Heart of Bushwick!",29599980.0,"Brooklyn, Bushwick","(40.70636, -73.91935)",Entire place,41$,1,0.05,0,4.156181860250866,1.2,2017-06-28
61,21691896,Spacious Brooklyn Townhouse with Garden,21248.0,"Brooklyn, Sunset Park","(40.65015, -74.01084)",Entire place,300$,1,0.05,0,4.6855959629542285,1.2,2017-06-04
62,7733241,Amazing room in Williamsburg House,16683784.0,"Brooklyn, Williamsburg","(40.71375, -73.94341999999997)",Private Room,72$,5,0.11,0,3.54177640375402,6.0,2016-12-25
63,411525,Beautiful Room + Private Balcony,1697784.0,"Brooklyn, Williamsburg","(40.71472, -73.96225)",Private Room,120$,62,0.7,15,3.842605461686257,74.39999999999998,2018-11-11
64,4384820,N 6th & Bedford PRIME Williamsburg ,22764554.0,"Brooklyn, Williamsburg","(40.71797, -73.95981)",Private Room,135$,1,0.02,0,3.762790610674009,1.2,2014-05-01
65,13747861,Sunny Bed Stuy Haven,7009626.0,"Brooklyn, Bedford-Stuyvesant","(40.68952, -73.94309)",Entire place,295$,16,0.44,0,3.248634617679235,19.2,2017-01-24
66,1967045,Top Floor Brooklyn Pad 1.5Bd/1Bth,9975193.0,"Brooklyn, Park Slope","(40.67694, -73.9813)",Entire place,180$,6,0.13,0,3.099356190191963,7.1999999999999975,2018-01-24
67,9716437,Chill Gramercy Flat,956269.0,"Manhattan, Gramercy","(40.73725, -73.98439)",Entire place,195$,19,0.43,34,3.9334587399372087,22.8,2018-12-16
68,14745847,Beautifu large studio in the heart  of Manhattan,39939354.0,"Manhattan, Midtown","(40.75797, -73.97004)",Entire place,150$,29,0.86,31,4.314895869678827,34.8,2018-12-17
69,16465690,Room in the heart of East Village,52243881.0,"Manhattan, East Village","(40.7232, -73.98223)",Private Room,90$,8,0.26,0,4.005200086246331,9.6,2017-06-29
70,57618,"Great new apt, close to everything",274557.0,"Manhattan, Hell's Kitchen","(40.7672, -73.98508000000002)",Entire place,250$,94,0.96,3,4.416985749971115,112.8,2018-12-04
71,8796283,Sunny flat in lovely brownstone,9138796.0,"Brooklyn, Bedford-Stuyvesant","(40.68967, -73.93381)",Entire place,130$,115,2.83,49,3.5207181575596462,138.0,2018-12-18
72,32635722,Sonder | Stock Exchange | Modern 2BR + Kitchen,219517861.0,"Manhattan, Financial District","(40.70608, -74.01111999999998)",Entire place,416$,7,1.72,338,4.13344350174169,8.4,2018-12-03
73,22480570,Sunny & Cozy Double Bedroom with private entrance,22382224.0,"Brooklyn, Windsor Terrace","(40.66023, -73.9804)",Private Room,85$,6,0.33,0,3.8793766543713413,7.1999999999999975,2017-09-27
74,7222354,"Sunny Upper East Side Apt, Balcony",18489745.0,"Manhattan, Upper East Side","(40.76446, -73.95603)",Private Room,86$,2,0.04,0,3.6741050240093935,2.4,2015-09-08
75,19100971,Spacious Bedroom with lots of Natural Light,81745867.0,"Manhattan, Washington Heights","(40.84917, -73.94048000000002)",Private Room,70$,2,0.16,0,3.307499064635381,2.4,2017-12-20
76,8816465,"Large, Sunny Family-Friendly Apt. (Smoke-Free)",40800505.0,"Brooklyn, Bedford-Stuyvesant","(40.68691, -73.93294)",Entire place,135$,29,0.65,268,4.5877169099477655,34.8,2018-05-07
77,19936586,Huge Sunny room in BedStuy (musician friendly),26091462.0,"Brooklyn, Bedford-Stuyvesant","(40.69499, -73.94921)",Private Room,100$,1,0.05,0,4.852652428604307,1.2,2017-05-02
78,18042238,Airy one bedroom in Crown Heights,100345999.0,"Brooklyn, Crown Heights","(40.67544, -73.95655)",Entire place,80$,1,0.04,0,4.363348101929722,1.2,2016-10-23
79,21173148,"Sunny apartment, great amenties and transporation.",27231066.0,"Manhattan, Harlem","(40.81138, -73.95442)",Entire place,165$,22,1.03,0,3.877467921950056,26.4,2018-11-21
80,21394300,Entire 1BR Beautiful Williamsburg Apartment,205055.0,"Brooklyn, Williamsburg","(40.71923, -73.95515)",Entire place,150$,3,0.15,0,3.289485700573656,3.6,2017-07-01
81,20978898,Lovely Bushwick Townhouse - steps from subway!,150965627.0,"Brooklyn, Bushwick","(40.6838, -73.91015)",Private Room,40$,8,0.36,0,4.533217068883494,9.6,2018-04-28
82,11547246,"Large, sunny room - Lower East Side",22551065.0,"Manhattan, Lower East Side","(40.71931, -73.98393)",Private Room,85$,1,0.03,0,4.298273853200157,1.2,2015-11-11
83,34937287,4Bed Penthouse! Terrace! Location! 5th Ave,133996326.0,"Manhattan, Flatiron District","(40.74312000000001, -73.98977)",Entire place,459$,5,4.29,354,4.364623246042022,6.0,2019-01-01
84,12084205,East Village 1B in 3B apt,51924404.0,"Manhattan, East Village","(40.72966, -73.98476)",Private Room,56$,2,0.05,0,4.69063780676361,2.4,2015-11-27
85,35348683,Central Park/Times Square Luxury Suite,16830841.0,"Manhattan, Midtown","(40.76372, -73.98182)",Private Room,358$,2,2.0,322,4.457747295340536,2.4,2018-12-26
86,18109852,"Sunny high-ceiling, large-windows, Bushwick apt",5168429.0,"Brooklyn, Bushwick","(40.69511, -73.90715)",Private Room,65$,17,0.66,11,4.027202540144852,20.4,2018-07-09
87,11378048,Charming One Bedroom in Boerum Hill,4161553.0,"Brooklyn, Gowanus","(40.6848, -73.98894)",Entire place,120$,5,0.13,0,3.3094576406171887,6.0,2015-11-04
88,14913197,Serene & Clean Cuartito with Garden View,60852834.0,"Brooklyn, Greenpoint","(40.72948, -73.94918)",Private Room,56$,154,4.49,44,3.909946541773981,184.8,2018-12-10
89,30184570,Cozy room in the heart of Williamsburg.,188477517.0,"Brooklyn, Williamsburg","(40.7107, -73.95846)",Private Room,100$,1,0.14,0,4.0219486588096585,1.2,2018-06-05
90,36077745,AMAZING LARGE ONE BEDROOM IN WILLIAMSBURG!!,266752544.0,"Brooklyn, Williamsburg","(40.71527, -73.93852)",Entire place,299$,2,2.0,178,3.847872477468423,2.4,2018-12-28
91,5105805,Best Location in Midtown Manhattan,8329975.0,"Manhattan, Hell's Kitchen","(40.76645, -73.98539)",Entire place,150$,15,0.41,5,3.9424137964094994,18.0,2018-12-24
92,4050765,Harmony House 3 on Madison Street,21014758.0,"Brooklyn, Bedford-Stuyvesant","(40.68852, -73.92393)",Private Room,38$,50,1.35,126,3.8173509200575593,60.0,2018-12-20
93,28659894,Private bedroom in prime Bushwick! Near Trains!!!,216235179.0,"Brooklyn, Bushwick","(40.69988, -73.92071999999997)",Private Room,55$,4,0.58,358,4.916251786868868,4.8,2020-08-23
94,25051166,NEAR COLUMBIA PRESBYTERIAN HOSP- Students*Visitors,25237492.0,"Manhattan, Washington Heights","(40.84115, -73.94095)",Private Room,50$,2,0.17,311,4.423282550587492,2.4,2018-08-03
95,18667184,Easy trip to Manhattan!  Large Private Garden!,129733507.0,"Brooklyn, Bedford-Stuyvesant","(40.68391, -73.95783)",Entire place,200$,4,0.17,250,4.337523065380702,4.8,2017-10-31
96,27933429,Cute Williamsburg studio,35335572.0,"Brooklyn, Williamsburg","(40.71645, -73.95721)",Entire place,130$,1,0.16,2,4.809404660555495,1.2,2018-06-28
97,17122439,Charming Studio with your Own Private Patio,115057851.0,"Manhattan, East Harlem","(40.80827, -73.93813)",Entire place,100$,103,3.61,32,3.0611337082051246,123.6,2018-12-26
98,33990485,Sonder | Stock Exchange | Timeless 1BR + Kitchen,219517861.0,"Manhattan, Financial District","(40.70714, -74.01208000000003)",Entire place,256$,4,2.79,292,4.812922904804559,4.8,2018-12-13
99,21979387,Brownstone 1 Bedroom Apt in Bushwick,160474324.0,"Brooklyn, Bushwick","(40.69267, -73.9218)",Entire place,70$,1,0.05,0,4.465613117863175,1.2,2017-06-10
100,29015079,"Sunny, Modern Williamsburg Condo Steps from Train",218689235.0,"Brooklyn, Williamsburg","(40.71441, -73.95229)",Entire place,160$,21,3.28,335,4.490495749912724,25.2,2018-12-27
101,5315798,Williamsburg Apt. S 2nd & Bedford,22761603.0,"Brooklyn, Williamsburg","(40.71425, -73.96054000000002)",Private Room,90$,1,0.02,0,4.092084434290362,1.2,2014-09-11
102,14014128,Amazing Private Room - Custom Style,83809962.0,"Brooklyn, East Flatbush","(40.66248, -73.92855)",Private Room,45$,39,1.27,365,4.393991827837676,46.8,2018-12-07
103,24508874,"HOTEL ROOM LIKE!!!   WITH AFFORDABLE RATE!!!   ""P""",59156312.0,"Queens, Woodhaven","(40.68654, -73.86672)",Private Room,89$,29,2.0,355,3.2905842357768185,34.8,2018-12-17
104,35007081,Amazing 3 bedroom in Williamsburg,3005203.0,"Brooklyn, Williamsburg","(40.71697, -73.94227)",Entire place,295$,1,1.0,318,4.1852290545850375,1.2,2018-12-11
105,5193916,Private room available in Dumbo Brooklyn,26867230.0,"Brooklyn, Fort Greene","(40.69605, -73.98207)",Private Room,45$,3,0.08,0,4.984868192025561,3.6,2016-01-10
106,9241147,Bushwick 2 bdrm near JMZ train stop,39768761.0,"Brooklyn, Bushwick","(40.69813, -73.93433)",Entire place,110$,50,1.15,0,4.236280942766019,60.0,2018-06-21
107,29295665,NYC Central Park Lux Hotel w/ Brfast & Dinner incl,3053587.0,"Manhattan, Midtown","(40.76531, -73.9789)",Private Room,350$,1,0.36,169,3.246633720841412,1.2,2018-10-12
108,25681692,Sunny room near center of the big apple 61F2,190921808.0,"Manhattan, Hell's Kitchen","(40.7558, -73.99677)",Private Room,62$,6,0.66,328,3.744926427254304,7.1999999999999975,2018-11-02
109,16029127,Sleeps 4 Guest's | CENTRALLY LOCATED | Midtown 45,64065593.0,"Manhattan, Midtown","(40.75246, -73.97355999999998)",Entire place,198$,27,0.88,246,3.845117399755933,32.4,2018-10-28
110,15783766,Cozy easy village apartment in central location,1546439.0,"Manhattan, East Village","(40.72868, -73.99036)",Private Room,50$,1,0.03,0,3.23575766933088,1.2,2016-05-25
111,505231,"Enjoy a 1 Bedroom to share, NYC",2490915.0,"Manhattan, Upper East Side","(40.77799, -73.95223)",Private Room,80$,1,0.01,0,4.675935691419324,1.2,2011-12-18
112,2924528,Spacious room in the heart of Manhattan (Downtown),,"Manhattan, Chinatown","(40.71782, -73.99422)",Private Room,87$,9,0.63,89,4.526590893193041,10.8,2018-05-01
113,19220496,Parkside luxury - studio with balcony,23257199.0,"Brooklyn, Crown Heights","(40.67375, -73.96255)",Entire place,84$,8,0.33,0,3.8440578504134,9.6,2017-05-21
114,28560837,Rock Rock Rockaway Beach House,92523072.0,"Queens, Rockaway Beach","(40.58862, -73.81276)",Entire place,150$,14,7.24,97,3.744043194537656,16.8,2018-12-28
115,29135220,Parisian Style Apartment in Heart of Brooklyn,32830245.0,"Brooklyn, Prospect Heights","(40.68063, -73.97334000000002)",Entire place,180$,9,1.01,0,4.215744327748582,10.8,2018-12-08
116,20407916,Renovated 3 BED 2 BATH Williamsburg Townhouse APT,144602805.0,"Brooklyn, Williamsburg","(40.71041, -73.9663)",Entire place,300$,34,1.55,239,4.141254962417518,40.8,2018-12-18
117,282514,"Own Room & Bath, Sunny Town House, 18"" to Wall St",1464358.0,"Brooklyn, Bedford-Stuyvesant","(40.68106, -73.9292)",Private Room,97$,29,1.57,118,3.976202512910578,34.8,2018-12-20
118,14066702,Room in Uptown Manhattan,84463909.0,"Manhattan, Washington Heights","(40.8385, -73.94313000000002)",Private Room,70$,15,0.43,95,3.4819788926100834,18.0,2016-10-27
119,16568252,"Huge Fort Greene Loft, Prime!",327489.0,"Brooklyn, Fort Greene","(40.69269, -73.9737)",Entire place,125$,8,0.31,185,4.370410144763003,9.6,2018-12-25
120,28965064,Bright clean modern spacious with big front porch!,1093167.0,"Brooklyn, Crown Heights","(40.68076, -73.96415)",Entire place,150$,3,0.33,95,3.0078816717999817,3.6,2018-04-10
121,7448093,stylish apartment w/ backyard,6223874.0,"Brooklyn, Greenpoint","(40.73059, -73.95651)",Entire place,185$,3,0.06,0,3.260622856243612,3.6,2016-08-08
122,24226528,Private Bedroom w/ Private Entrance-Williamsburg!,1525346.0,"Brooklyn, Williamsburg","(40.70949, -73.94892)",Private Room,73$,25,1.64,48,3.676519677329493,30.0,2018-11-07
123,35991985,Penthouse Lofts + Private Terrace!,270590027.0,"Brooklyn, Williamsburg","(40.70907, -73.95054)",Entire place,599$,1,1.0,346,3.6367408807842354,1.2,2018-12-30
124,8319488,Spacious park slope 2 bedroom,43126563.0,"Brooklyn, Park Slope","(40.67173, -73.98303)",Entire place,300$,70,1.51,338,4.433679650244604,84.0,2018-12-25
125,3876850,Beautiful -  Upper West Side ,20033436.0,"Manhattan, Upper West Side","(40.79254, -73.97531)",Private Room,250$,6,0.1,365,3.2769744742274893,7.1999999999999975,2014-11-13
126,24633539,Private East Village Room With Great Light/Views,63409074.0,"Manhattan, East Village","(40.72081, -73.97921)",Private Room,60$,7,0.58,126,4.897729367716863,8.4,2018-12-08
127,12740226,Cozy room in heart of Williamsburg,3038856.0,"Brooklyn, Williamsburg","(40.71403, -73.96171)",Private Room,70$,9,0.24,0,4.863723144809742,10.8,2017-11-22
128,765563,Big Comfy Beds & Breakfast on the Deck,4036685.0,"Queens, Bayside","(40.75666, -73.76314)",Entire place,299$,67,0.95,322,4.4811298042993055,80.39999999999998,2018-12-15
129,14163104,Cozy Studio in Astoria NYC,85667130.0,"Queens, Ditmars Steinway","(40.77943, -73.9117)",Private Room,90$,80,2.35,350,3.183871843866643,96.0,2018-12-27
130,22339572,*Tr)  Charming Private Room 20 min to manhattan,154258141.0,"Brooklyn, Bushwick","(40.68822, -73.91639)",Private Room,64$,46,2.67,352,3.165046558116547,55.2,2018-12-14
131,35314242,"A Private and Comfy, Bohemian  Room",161829611.0,"Manhattan, Washington Heights","(40.8564, -73.92703)",Private Room,66$,2,2.0,60,3.3517573263995537,2.4,2018-12-25
132,27106745,New York City-Spacious Private Bedroom,203855380.0,"Manhattan, East Village","(40.72327, -73.98105)",Private Room,160$,17,1.48,0,3.9020198355375793,20.4,2018-12-25
133,18248683,Sunny East Village Apartment,126101478.0,"Manhattan, East Village","(40.72412, -73.97910999999998)",Entire place,140$,1,0.04,0,4.5865486388755015,1.2,2016-10-28
134,4410626,Spacious neo-country seaside loft,22893493.0,"Brooklyn, Red Hook","(40.68039, -74.01729)",Entire place,245$,50,0.92,19,4.9284610860251865,60.0,2018-11-27
135,25517197,HUGE Soho LOFT 2 Bedrooms 2 Bathrooms,50249843.0,"Manhattan, SoHo","(40.7228, -74.00644)",Entire place,350$,11,0.87,0,3.827989048674668,13.2,2018-04-04
136,729841,Gorgeous Apt Heart of West Villlage,73549.0,"Manhattan, West Village","(40.73616, -74.00399999999998)",Entire place,200$,23,0.32,0,3.4619338802304602,27.6,2018-06-03
137,24178083,Charming mezzanine bedroom near Prospect Park,179778880.0,"Brooklyn, Sunset Park","(40.66179, -73.99061999999998)",Private Room,45$,37,2.61,308,4.227430062586444,44.4,2018-11-12
138,30574764,"Lovely, Convenient & Renovated Bushwick BK Room.",137358866.0,"Brooklyn, Bushwick","(40.69262, -73.91198)",Private Room,35$,4,0.66,269,3.751657452534276,4.8,2018-11-06
139,20901820,Hidden Gem in the Heart of Park Slope,41407057.0,"Brooklyn, South Slope","(40.66675, -73.988)",Entire place,95$,4,0.19,0,3.3965659480374435,4.8,2017-12-27
140,13288854,Large Sunny Room in Big Loft,15798864.0,"Brooklyn, Bedford-Stuyvesant","(40.69646, -73.96059)",Private Room,65$,6,0.16,0,3.9258958516854445,7.1999999999999975,2017-07-01
141,3652230,Bay Beauty - Room On The Water!,681225.0,"Queens, Rockaway Beach","(40.5903, -73.8143)",Private Room,113$,36,0.74,365,4.536639644194913,43.2,2019-01-01
142,34336812,"2 BR Apt close to LGA, JFK & Midtown (2A)",259229690.0,"Queens, Woodside","(40.74553, -73.89211999999998)",Entire place,179$,5,2.59,23,3.6746535894150902,6.0,2018-12-25
143,6452940,Spacious Studio in Midtown,19475826.0,"Manhattan, Murray Hill","(40.7487, -73.97358)",Entire place,125$,21,0.44,0,4.0671624391824945,25.2,2016-06-26
144,12004175,Private Master Bedroom in Luxury Bu,13340829.0,"Brooklyn, Crown Heights","(40.67543, -73.96311999999998)",Private Room,60$,1,0.03,0,4.816929980604924,1.2,2016-02-13
